BGC0000293	s__Aspergillus_fischeri
BGC0000294	s__Acinetobacter_baumannii
BGC0000295	s__Acinetobacter_haemolyticus
BGC0000296	s__Streptomyces_anulatus
BGC0000297	s__Planktothrix_agardhii
BGC0000298	s__Microcystis_aeruginosa
BGC0000299	s__Pseudoalteromonas_piscicida
BGC0000300	s__Streptomyces_sp_AA4
BGC0000301	s__Planktothrix_agardhii
BGC0000302	s__Anabaena_sp_90
BGC0000303	s__Streptomyces_refuineus
BGC0000304	s__Fusarium_incarnatum
BGC0000305	s__Pseudomonas_sp_MIS38
BGC0000306	s__Streptomyces_filamentosus
BGC0000307	s__Aureobasidium_pullulans
BGC0000308	s__Staphylococcus_aureus
BGC0000309	s__Bacillus_subtilis
BGC0000310	s__Bacillus_licheniformis
BGC0000311	s__Amycolatopsis_balhimycina
BGC0000312	s__Beauveria_bassiana
BGC0000313	s__Beauveria_bassiana
BGC0000314	s__Pseudoalteromonas_piscicida
BGC0000315	s__Streptomyces_coelicolor
BGC0000316	s__Saccharothrix_mutabilis
BGC0000317	s__Acremonium_chrysogenum
BGC0000318	s__Acremonium_chrysogenum
BGC0000319	s__Streptomyces_clavuligerus
BGC0000320	s__Bacillus_cereus
BGC0000321	s__Collariella_virescens
BGC0000322	s__Amycolatopsis_orientalis
BGC0000323	s__Pseudomonas_cichorii
BGC0000324	s__Streptomyces_coelicolor
BGC0000325	s__Streptomyces_coelicolor
BGC0000326	s__Streptomyces_lavendulae
BGC0000327	s__Streptomyces_ambofaciens
BGC0000328	s__Pseudomonas_savastanoi
BGC0000329	s__Pseudomonas_corrugata
BGC0000330	s__Cupriavidus_necator
BGC0000331	s__Planktothrix_agardhii
BGC0000332	s__Microcystis_sp_NIVA_CYA_172/5
BGC0000333	s__Salinispora_arenicola
BGC0000334	s__Tolypocladium_inflatum
BGC0000335	s__Cystobacter_fuscus
BGC0000336	s__Streptomyces_filamentosus
BGC0000337	s__Metarhizium_robertsii
BGC0000338	s__Aspergillus_rugulosus
BGC0000339	s__Streptomyces_lasaliensis
BGC0000340	s__Streptomyces_sp_LZ35
BGC0000341	s__Streptomyces_fungicidicus
BGC0000342	s__Fusarium_equiseti
BGC0000343	s__Pseudomonas_sp_J465
BGC0000344	s__Pseudomonas_entomophila
BGC0000345	s__Streptomyces_hygroscopicus
BGC0000346	s__Goodfellowiella_coeruleoviolacea
BGC0000347	s__Streptococcus_equi
BGC0000348	s__Epichloe_festucae
BGC0000349	s__Saccharopolyspora_erythraea
BGC0000350	s__uncultured_organism
BGC0000351	s__Mycolicibacterium_smegmatis
BGC0000352	s__Acinetobacter_sp_ADP1
BGC0000353	s__Streptomyces_sp_MA6548
BGC0000354	s__Actinoplanes_friuliensis
BGC0000355	s__Aspergillus_fumigatus
BGC0000356	s__Aspergillus_fumigatus
BGC0000357	s__Penicillium_rubens
BGC0000358	s__Paenibacillus_polymyxa
BGC0000359	s__Thermobifida_fusca
BGC0000360	s__Streptomyces_sp_L_49973
BGC0000361	s__Aspergillus_fumigatus
BGC0000362	s__Mycobacterium_avium
BGC0000363	s__Mycobacteroides_chelonae
BGC0000364	s__Mycobacteroides_abscessus
BGC0000365	s__Mycolicibacterium_smegmatis
BGC0000366	s__Streptomyces_sp_NRRL_F_4415
BGC0000367	s__Brevibacillus_brevis
BGC0000368	s__Streptomyces_sp_ATCC_700974
BGC0000369	s__Anabaena_sp_Syke748
BGC0000370	s__Bipolaris_zeicola
BGC0000371	s__Rhodococcus_erythropolis
BGC0000372	s__Aspergillus_fumigatus
BGC0000373	s__Streptomyces_clavuligerus
BGC0000374	s__Streptomyces_griseoflavus
BGC0000375	s__Streptomyces_chromofuscus
BGC0000376	s__Streptomyces_sp_Sp080513GE_23
